CASE,DATE,YEAR,DECADE,EFFECT,STAT NAME,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
Martin v. Hunter's Lessee,3/20/1816,1816,1810,upheld,Judiciary Act of 1789,1-20,9/24/1789,330,1,Federalism,1.0,0.0,0,0,0.0,0.0,0,0,1
McCulloch v. Maryland,3/6/1819,1819,1810,upheld,Incorporation of the Bank of the United States,14-44,4/10/1816,35,14,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,0
United States v. Smith,2/25/1820,1820,1820,upheld,Protection Against Piracy Act,,3/3/1819,11,15,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,1,0
Loughborough v. Blake,3/10/1820,1820,1820,upheld,District of Columbia Direct Tax,,2/27/1815,61,13,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Cohens v. Virginia,3/5/1821,1821,1820,upheld,Judiciary Act of 1789,1-20,9/24/1789,390,1,Federalism,1.0,0.0,0,0,0.0,0.0,0,0,1
Gibbons v. Ogden,3/2/1824,1824,1820,upheld,Licensing Act,2-8,2/18/1793,251,2,Federalism,0.0,0.0,1,0,1.0,0.0,0,0,1
"Osborn v. President, Directors & Co. of Bank",3/19/1824,1824,1820,upheld,Incorporation of the Bank of the United States,14-44,4/10/1816,95,14,Federalism,1.0,0.0,0,0,0.0,0.0,1,1,0
Wayman v. Southard,3/1/1825,1825,1820,upheld,Judiciary Act of 1789,1-20,9/24/1789,438,1,Separation of Powers,1.0,0.0,0,0,0.0,0.0,0,0,1
Bank of the United States v. Halstead,3/2/1825,1825,1820,upheld,Process Act of 1792,2-36,5/8/1792,394,2,Separation of Powers,0.0,0.0,0,0,0.0,0.0,1,0,1
American Ins. Co. v. 356 Bales of Cotton,3/15/1828,1828,1820,upheld,Florida Territory Act,,3/3/1823,60,17,Separation of Powers,1.0,0.0,0,0,0.0,0.0,0,0,0
Jackson v. Twentymen,2/6/1829,1829,1820,struck down as applied,Judiciary Act of 1789,1-20,9/24/1789,473,1,Federalism,1.0,0.0,0,0,1.0,0.0,0,0,1
Foster and Elam v. Neilson,3/9/1829,1829,1820,upheld,Louisiana Territory Act,8-31,3/26/1804,300,8,Economic,1.0,0.0,0,0,0.0,0.0,0,0,0
Reynolds v. M'Arthur,2/4/1829,1829,1820,struck down as applied,Virginia Military Land Warrants Act,,4/11/1818,130,15,Economic,0.0,0.0,0,0,0.0,0.0,0,0,0
Parsons v. Bedford,2/9/1830,1830,1830,struck down as applied,Louisiana Court Procedure Act,,5/26/1824,69,18,Due Process,0.0,0.0,0,0,1.0,0.0,0,1,0
Worcester v. Georgia,3/3/1832,1832,1830,upheld,Indian Trade Act,7-10,3/30/1802,360,7,Federalism,0.0,0.0,0,0,1.0,0.0,0,1,0
United States v. Percheman,2/14/1833,1833,1830,struck down as applied,Florida Land Titles Law,,5/8/1822,129,17,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Sampeyreac v. United States,3/6/1833,1833,1830,upheld,Louisiana Public Land Act,,5/5/1830,34,21,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Phelps,3/19/1834,1834,1830,struck down as applied,Duties Act of 1799,5-18,3/2/1799,420,5,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,1
New Orleans v. United States,2/9/1836,1836,1830,struck down as applied,Louisiana Statehood Act,,4/8/1812,286,12,Federalism,1.0,0.0,1,0,1.0,0.0,1,0,0
United States v. Coombs,1/27/1838,1838,1830,upheld,Act to Punish Certain Crimes,,3/3/1825,154,18,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
Garcia v. Lee,3/12/1838,1838,1830,upheld,Louisiana Territory Act,8-31,3/26/1804,408,8,Separation of Powers,1.0,0.0,0,0,0.0,0.0,0,1,1
United States v. Gratiot,3/9/1840,1840,1840,upheld,Disposal of Public Land Act,9-36,3/3/1807,396,9,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
Prigg v. Pennsylvania,3/1/1842,1842,1840,upheld,Fugitive Slave Act of 1793,2-7,2/12/1793,589,2,Federalism,1.0,1.0,0,0,1.0,0.0,0,0,1
Nelson v. Carland,2/7/1843,1843,1840,upheld,Bankruptcy Act of 1841,,8/19/1841,18,27,Economic,1.0,1.0,0,0,0.0,0.0,0,1,1
Pollard v. Files,3/16/1844,1844,1840,upheld,Act for Relief of William Pollard's Heirs,,7/2/1836,94,24,Economic,0.0,0.0,0,0,1.0,0.0,0,0,0
Searight v. Stokes,2/4/1845,1845,1840,upheld,4 Stat. 772,,3/3/1835,119,24,Federalism,0.0,0.0,1,0,0.0,0.0,0,2,0
Pollard v. Hagan,2/18/1845,1845,1840,struck down on face,Act for Relief of William Pollard's Heirs,,7/2/1836,103,24,Federalism,0.0,0.0,0,0,0.0,0.0,0,1,0
Cary v. Curtis,1/21/1845,1845,1840,upheld,Appropriations Act of 1839,,3/3/1839,70,25,Federalism,0.0,0.0,1,0,0.0,0.0,1,2,0
Jones v. Van Zandt,3/5/1847,1847,1840,upheld,Fugitive Slave Act of 1793,2-7,2/12/1793,649,2,Federalism,1.0,1.0,0,0,0.0,0.0,0,0,1
"Waring, et al. v. Clarke",3/2/1847,1847,1840,upheld,Judiciary Act of 1789,1-20,9/24/1789,690,1,Federalism,1.0,0.0,0,0,0.0,0.0,0,3,1
New Jersey Steam Navigation C. v. Merchants' Bank of Boston,3/7/1848,1848,1840,upheld,Judiciary Act of 1789,1-20,9/24/1789,702,1,Separation of Powers,1.0,0.0,0,0,0.0,0.0,0,1,1
Sheldon v. Sill,2/21/1850,1850,1850,upheld,Judiciary Act of 1789,1-20,9/24/1793,557,1,Separation of Powers,1.0,0.0,0,0,1.0,0.0,0,0,1
Benner v. Porter,4/30/1850,1850,1850,struck down as applied,Passenger Act,,2/22/1847,38,29,Separation of Powers,0.0,0.0,0,0,1.0,0.0,0,0,0
"Lytle, et al. v. Arkansas, et al.",5/17/1850,1850,1850,struck down as applied,4 Stat. 531,,6/15/1832,215,22,Economic,0.0,0.0,0,0,1.0,0.0,0,3,0
United States v. Marigold,5/13/1850,1850,1850,upheld,Act to Punish Certain Crimes,,3/3/1825,302,18,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
"McNulty v. Batty, et al.",1/7/1851,1851,1850,struck down as applied,Passenger Act,,2/22/1847,47,29,Separation of Powers,0.0,0.0,0,0,0.0,0.0,0,0,0
Propeller Genesee Chief v. Fitzhugh,2/20/1852,1852,1850,upheld,Act Extending Jurisdiction of the District Courts,,2/26/1845,84,28,Federalism,0.0,0.0,0,0,0.0,0.0,0,1,0
Veazie v. Moor,3/7/1853,1853,1850,struck down as applied,Licensing Act,2-8,2/18/1793,721,2,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,1
Haydel v. Dufresne,2/8/1855,1855,1850,upheld,Louisiana Land Claims Act of 1811,,2/15/1811,528,11,Separation of Powers,0.0,0.0,0,0,1.0,0.0,0,0,1
West v. Cochran,2/6/1855,1855,1850,upheld,Louisiana Land Claims Act of 1807,9-26,3/3/1807,575,9,Economic,0.0,0.0,1,0,0.0,0.0,0,0,1
United States v. Ritchie,3/10/1855,1855,1850,upheld,California Land Claims Act,,3/3/1851,48,31,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Den ex dem. Murray and Kayser v. Hoboken Land & Improvement Co.,2/19/1856,1856,1850,upheld,Treasury Department Reorganization Act,,5/15/1820,429,16,Due Process,0.0,0.0,0,0,0.0,0.0,0,0,1
Pennsylvania v. Wheeling & Belmont Bridge Co.,4/21/1856,1856,1850,upheld,Post Office Appropriation of 1852,,8/31/1852,44,32,Separation of Powers,0.0,0.0,0,0,0.0,0.0,0,3,0
Scott v. Sandford,3/5/1857,1857,1850,struck down on face,Missouri Compromise,,3/6/1820,454,16,Federalism,1.0,1.0,0,0,0.0,1.0,0,2,1
People's Ferry Co. of Boston v. Beers,5/4/1858,1858,1850,struck down as applied,Judiciary Act of 1789,1-20,9/24/1789,824,1,Federalism,1.0,0.0,0,0,1.0,0.0,0,0,1
Dynes v. Hoover,2/1/1858,1858,1850,upheld,Government of the Navy Act,6-28,4/23/1800,694,6,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,1,1
Withers v. Buckley,1/11/1858,1858,1850,struck down as applied,3 Stat. 349,,3/1/1817,490,14,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,1
Ableman v. Booth,3/7/1859,1859,1850,upheld,Fugitive Slave Act of 1850,,9/18/1850,102,31,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,0
Kentucky v. Dennison,3/14/1861,1861,1860,struck down as applied,Fugitive Slave Act of 1793,2-7,2/12/1793,817,2,Federalism,1.0,1.0,0,0,0.0,0.0,0,0,1
Freeborn v. Smith,3/10/1865,1865,1860,upheld,Nevada Courts Act,,2/27/1865,1,38,Due Process,0.0,0.0,0,0,0.0,0.0,0,0,0
Gordon v. United States,3/10/1865,1865,1860,struck down on face,Court of Claims Amendment Act,,3/3/1863,24,37,Separation of Powers,0.0,0.0,0,0,0.0,1.0,1,2,0
United States v. Holliday,3/5/1866,1866,1860,upheld,Indian Trade Amendment Act,,2/13/1862,49,37,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
Van Allen v. Assessors,3/26/1866,1866,1860,upheld,National Currency Act of 1864,,6/3/1864,21,38,Federalism,0.0,0.0,0,0,1.0,0.0,0,3,0
Ex Parte Garland,1/14/1867,1867,1860,struck down on face,Attorney Test Oath Act,,1/24/1865,24,38,Due Process,0.0,0.0,1,0,0.0,1.0,1,4,0
Moses Taylor,2/4/1867,1867,1860,upheld,Judiciary Act of 1789,1-20,9/24/1789,917,1,Federalism,1.0,0.0,0,0,1.0,0.0,0,0,1
Hadden v. Collector,2/13/1867,1867,1860,upheld,Tariff Act of 1862 (Morrill Tariff),,7/14/1862,55,37,Federalism,1.0,0.0,1,0,0.0,0.0,1,0,0
License Tax Cases,1/28/1867,1867,1860,upheld,Internal Revenue Act of 1864,,6/30/1864,31,38,Federalism,1.0,0.0,1,0,0.0,0.0,1,0,0
Reichart v. Felps,3/16/1868,1868,1860,struck down on face,Kaskaskia Land Title Revision Act,,2/20/1812,673,12,Economic,0.0,0.0,0,0,0.0,1.0,0,0,0
Mayer v. Cooper,3/16/1868,1868,1860,upheld,Habeas Corpus Act of 1863,,3/3/1863,60,37,Separation of Powers,1.0,0.0,0,0,1.0,0.0,0,0,0
White's Bank v. Smith,3/29/1868,1868,1860,upheld,Recording Act,,7/29/1850,212,31,Federalism,0.0,0.0,0,0,1.0,0.0,0,0,1
Pacific Insurance Co. v. Soule,2/1/1869,1869,1860,upheld,Internal Revenue Act of 1864,,6/30/1864,56,38,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
Ex Parte McCardle,4/12/1869,1869,1860,upheld,Repeal of the Habeas Corpus Act of 1867,,3/27/1868,13,40,Separation of Powers,1.0,1.0,0,0,0.0,0.0,1,0,0
The Alicia,1/25/1869,1869,1860,struck down on face,Prize Proceedings Act,,6/30/1864,55,38,Separation of Powers,0.0,0.0,1,0,0.0,1.0,1,0,0
Veazie Bank v. Fenno,12/13/1869,1869,1860,upheld,Internal Revenue Act of 1866,,7/13/1866,36,39,Economic,0.0,0.0,1,0,0.0,0.0,1,2,0
Hepburn v. Griswold,1/24/1870,1870,1870,struck down as applied,Legal Tender Act,,2/25/1862,95,37,Economic,1.0,1.0,1,0,0.0,1.0,0,3,0
United States v. Dewitt,2/21/1870,1870,1870,struck down as applied,Internal Revenue Act of 1867,,3/2/1867,35,39,Federalism,0.0,0.0,1,0,0.0,1.0,1,0,0
Frisbie v. Whitney,3/21/1870,1870,1870,upheld,Soscal Ranch Preemption Act,,3/3/1863,84,37,Economic,0.0,0.0,0,0,1.0,0.0,0,0,0
Justices v. Murray,3/14/1870,1870,1870,struck down on face,Habeas Corpus Act of 1863,,3/3/1863,84,37,Due Process,1.0,0.0,1,0,1.0,1.0,1,0,0
Bennett v. Hunter,3/21/1870,1870,1870,struck down as applied,Tax Collection Act of 1862,,6/7/1862,93,37,Economic,0.0,0.0,1,0,0.0,0.0,0,0,0
Clinton Bridge,12/19/1870,1870,1870,upheld,Clinton Bridge Act,,2/27/1867,46,39,Separation of Powers,0.0,0.0,0,0,0.0,0.0,0,0,0
Willard v. Presbury,3/7/1870,1870,1870,upheld,District of Columbia Tax Authority Act,,2/23/1865,61,38,Economic,0.0,0.0,0,0,1.0,0.0,0,0,0
The Daniel Ball,1/23/1871,1871,1870,upheld,Security on Steam Vessels Act,,7/7/1838,390,25,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,1
Collector v. Day,4/3/1871,1871,1870,struck down as applied,Internal Revenue Act of 1864,,6/30/1864,82,38,Federalism,1.0,1.0,1,0,0.0,0.0,1,1,0
Miller v. United States,3/3/1871,1871,1870,upheld,Confiscation Acts,,8/6/1861,115,37,Due Process,1.0,1.0,1,0,0.0,0.0,1,3,0
Stewart v. Kahn,4/10/1871,1871,1870,upheld,Statute of Limitations Act,,6/11/1864,82,38,Due Process,0.0,0.0,0,0,1.0,0.0,0,0,0
Knox v. Lee,5/1/1871,1871,1870,upheld,Legal Tender Act,,2/25/1862,111,37,Economic,1.0,1.0,1,0,0.0,0.0,0,4,0
Johnson v. Towsley,12/11/1871,1871,1870,struck down as applied,Distribution and Pre-emption Act,,9/4/1841,363,27,Economic,1.0,0.0,0,0,0.0,0.0,0,1,1
United States v. Klein,1/29/1872,1872,1870,struck down on face,Appropriations Act of 1870,,7/12/1870,18,41,Separation of Powers,0.0,0.0,1,0,0.0,1.0,1,2,0
Railway Company v. Whitton's Administrator,2/19/1872,1872,1870,upheld,Removal Act,,3/2/1867,59,39,Separation of Powers,0.0,0.0,0,0,0.0,0.0,0,0,0
Ex Parte Russell,3/25/1872,1872,1870,upheld,Court of Claims Amendment Act of 1868,,6/25/1868,45,40,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,2,0
United States v. Singer,12/9/1872,1872,1870,upheld,Internal Tax on Spirits Act,,7/20/1868,53,40,Economic,0.0,0.0,1,0,1.0,0.0,1,0,0
United States v. Railroad Company,4/7/1873,1873,1870,struck down as applied,Internal Revenue Act of 1864,,6/30/1864,106,38,Federalism,1.0,1.0,1,0,0.0,0.0,1,2,0
Insurance Company v. Dunn,1/26/1874,1874,1870,upheld,Removal Act,,3/2/1867,82,39,Separation of Powers,0.0,0.0,0,0,1.0,0.0,0,0,0
Ex Parte Robinson,5/4/1874,1874,1870,upheld,Contempt of Court Act,,3/2/1831,518,21,Separation of Powers,0.0,0.0,0,0,0.0,0.0,1,1,1
Stockdale v. Insurance Company,5/4/1874,1874,1870,upheld,Tariff Act of 1870,,7/14/1870,46,41,Separation of Powers,1.0,0.0,1,0,1.0,0.0,1,3,0
Hamilton v. Dillin,1/11/1875,1875,1870,upheld,Force Act of 1861,,7/13/1861,162,37,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
Scholey v. Rew,1/25/1875,1875,1870,upheld,Internal Revenue Act of 1864,,6/30/1864,127,38,Economic,1.0,0.0,1,0,0.0,0.0,1,0,0
Kohl v. United States,3/27/1876,1876,1870,upheld,Act to Purchase a Site,,3/12/1872,48,42,Economic,0.0,0.0,1,0,0.0,0.0,1,1,0
Gaines v. Fuentes,3/20/1876,1876,1870,upheld,Removal Act,,3/2/1867,108,39,Separation of Powers,0.0,0.0,0,0,1.0,0.0,0,3,0
Phillips v. Payne,4/17/1876,1876,1870,upheld,Alexandria Retrocession Act,,7/9/1846,357,29,Economic,0.0,0.0,0,0,0.0,0.0,0,0,1
United States v. Reese,3/27/1876,1876,1870,struck down on face,Enforcement Act of 1870,,5/31/1870,70,41,Federalism,1.0,1.0,1,0,0.0,1.0,1,2,0
Pace v. Burgess,4/17/1876,1876,1870,upheld,Internal Tax on Spirits Act,,7/20/1868,93,40,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
United States v. Cruikshank,3/27/1876,1876,1870,struck down as applied,Enforcement Act of 1870,,5/31/1870,70,41,Federalism,1.0,1.0,1,0,0.0,0.0,1,1,0
United States v. Forty-Three Gallons of Whiskey,11/13/1876,1876,1870,upheld,Indian Trade Act of 1864,,3/15/1864,152,38,Federalism,0.0,0.0,1,0,1.0,0.0,1,0,0
South Carolina v. Georgia,10/23/1876,1876,1870,upheld,Appropriations Act of 1874,,6/23/1874,28,43,Federalism,0.0,0.0,1,0,0.0,0.0,0,0,0
Beecher v. Wetherby,11/19/1877,1877,1870,struck down as applied,Relief of Stockbridge and Munsee Tribes,,2/6/1871,81,41,Economic,0.0,0.0,0,0,0.0,0.0,0,0,0
United States v. Fox,1/7/1878,1878,1870,struck down as applied,Bankruptcy Act of 1867,,3/2/1867,130,39,Due Process,1.0,0.0,1,0,0.0,1.0,1,0,0
Pensacola Telegraph Company v. Western Union Telegraph Company,3/25/1878,1878,1870,upheld,Telegraph Construction Act,,7/24/1866,140,39,Federalism,0.0,0.0,0,0,0.0,0.0,0,2,0
United States v. Simmons,4/22/1878,1878,1870,struck down as applied,Internal Tax on Spirits Act,,7/20/1868,117,40,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Ex Parte Jackson,5/13/1878,1878,1870,upheld,19 Stat. 90,,7/12/1876,22,44,Substantive Rights,0.0,0.0,1,0,0.0,0.0,1,1,1
Burgess v. Salmon,12/23/1878,1878,1870,struck down as applied,18 Stat. 339,,3/3/1875,45,43,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Mattingly v. District of Columbia,12/16/1878,1878,1870,upheld,District of Columbia Assessments,,6/19/1878,6,45,Separation of Powers,0.0,0.0,0,0,0.0,0.0,1,0,1
Reynolds v. United States,1/6/1879,1879,1870,upheld,Pacific Railroad Act,,7/1/1862,198,37,Substantive Rights,0.0,0.0,1,0,0.0,0.0,1,0,0
United States v. Hall,1/27/1879,1879,1870,upheld,17 Stat. 575,,3/3/1873,70,42,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
De Treville v. Smalls,1/20/1879,1879,1870,upheld,12 Stat. 422,,6/7/1862,199,37,Economic,0.0,0.0,0,0,0.0,0.0,0,2,0
United States v. Union Pacific Railroad Company,1/6/1879,1879,1870,upheld,Appropriations Act of 1873,,3/3/1873,70,42,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Sinking-Fund Cases,5/5/1879,1879,1870,upheld,Thurman Act (Pacific Railroads),,5/7/1878,12,45,Economic,0.0,0.0,1,0,0.0,0.0,1,3,1
Trade-Mark Cases,11/17/1879,1879,1870,struck down on face,Copyright Act,,7/8/1870,112,41,Federalism,1.0,0.0,1,0,0.0,1.0,1,0,0
Tennessee v. Davis,3/1/1880,1880,1880,upheld,Judiciary Act of 1875,,3/3/1875,60,43,Federalism,0.0,0.0,1,0,0.0,0.0,1,2,0
Virginia v. Rives,3/1/1880,1880,1880,upheld,Enforcement Act of 1870,,5/31/1870,118,41,Equality,1.0,1.0,1,0,0.0,0.0,0,0,0
Ex parte Virginia,3/1/1880,1880,1880,upheld,Civil Rights Act of 1875,,3/1/1875,60,43,Equality,1.0,1.0,1,0,0.0,0.0,1,2,0
Ex parte Siebold,3/8/1880,1880,1880,upheld,Enforcement Act of 1870,,5/31/1870,117,41,Federalism,1.0,1.0,1,0,0.0,0.0,1,2,0
Ex parte Clarke,3/8/1880,1880,1880,upheld,Enforcement Act of 1871,,2/18/1871,109,43,Due Process,0.0,0.0,1,0,0.0,0.0,1,2,0
National Bank v. United States,4/5/1880,1880,1880,upheld,15 Stat. 6,,3/26/1867,157,40,Federalism,0.0,0.0,1,0,0.0,0.0,1,0,0
McElrath v. United States,12/30/1880,1880,1880,upheld,Court of Claims Amendment Act,,3/3/1863,214,37,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Lord v. Steamship Co.,1/10/1881,1881,1880,upheld,Tariff Act of 1851,,3/3/1851,358,31,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,1
Springer v. United States,1/24/1881,1881,1880,upheld,"Ways and Means - Bonds, Treasury Notes; Direct Taxes in Insurrectionary Districts, Conveyances, etc",,3/3/1865,191,38,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
"The ""Francis Wright""",4/17/1882,1882,1880,upheld,Supreme Court and Circuit Courts,,2/16/1875,86,43,Due Process,0.0,0.0,0,0,0.0,0.0,0,0,0
Bridge Co. v. United States,5/8/1882,1882,1880,upheld,Post-Office Appropriation Act,,3/3/1871,134,41,Economic,0.0,0.0,1,0,0.0,0.0,1,3,0
Ex parte Boyd,5/8/1882,1882,1880,upheld,17 Stat. 196,,6/1/1872,119,42,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Kirk v. Lynd,12/4/1882,1882,1880,upheld,Confiscation (of Property) Acts (Civil War),,8/6/1861,256,37,Due Process,1.0,0.0,0,0,0.0,0.0,0,0,0
Ex parte Curtis,12/18/1882,1882,1880,upheld,"Legislative, Executive, and Judicial Appropriations Act of 1876",,8/15/1876,77,44,Due Process,0.0,0.0,1,0,0.0,0.0,1,1,1
United States v. Harris,1/22/1883,1883,1880,struck down on face,Civil Rights Act of 1871,,4/20/1871,141,42,Due Process,1.0,1.0,1,0,0.0,1.0,1,0,0
Wood v. United States,4/16/1883,1883,1880,upheld,General Samuel W. Crawford and Retired Officers,,3/3/1875,98,43,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Close v. Glenwood Cemetery,3/5/1883,1883,1880,upheld,Glenwood Cemetary Act,,2/28/1875,96,44,Economic,0.0,0.0,0,0,0.0,0.0,0,0,1
In re Devoe Manufacturing Co.,5/7/1883,1883,1880,upheld,Consent of Congress to a Compact of Boundary between New York and New Jersey,,6/28/1834,586,23,Federalism,0.0,0.0,0,0,0.0,0.0,1,0,1
United States v. Stanley,10/15/1883,1883,1880,struck down as applied,Civil Rights Act of 1875,,3/1/1875,103,43,Equality,1.0,1.0,1,0,0.0,1.0,1,1,0
Miller v. Mayor of New York,11/26/1883,1883,1880,upheld,Brooklyn Bridge Authorization Act,,3/3/1869,177,40,Federalism,0.0,0.0,0,0,0.0,0.0,0,0,0
United States v. Jones,12/10/1883,1883,1880,upheld,Improvement of the Wisconsin and Fox Rivers,,7/7/1870,161,41,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,0
Legal Tender Case,3/3/1884,1884,1880,upheld,Currency Act,,5/31/1878,45,45,Federalism,0.0,0.0,0,0,0.0,0.0,0,1,1
Mitchell v. Clark,3/3/1884,1884,1880,upheld,"Habeas Corpus Act (Civil War), Orders From Superior Officer to be a Defence in Certain Suits",,5/11/1866,214,39,Federalism,0.0,0.0,0,0,1.0,0.0,0,1,0
Ex parte Yarbrough,3/3/1884,1884,1880,upheld,Civil Rights Act of 1871,,4/20/1871,155,42,Due Process,1.0,1.0,1,0,0.0,0.0,1,0,0
Bors v. Preston,4/7/1884,1884,1880,upheld,Judiciary Act of 1875,,3/3/1875,109,43,Separation of Powers,0.0,0.0,0,0,1.0,0.0,0,0,0
Ames v. Kansas,4/21/1884,1884,1880,upheld,Circuit Courts (Removal),,3/3/1875,110,43,Federalism,0.0,0.0,0,0,1.0,0.0,0,0,0
Burrow-Giles Lithographic Co. v. Sarony,3/17/1884,1884,1880,upheld,Copyright Acts,,6/18/1874,117,43,Economic,0.0,0.0,0,0,0.0,0.0,0,0,0
Hitz v. National Metropolitan Bank,5/5/1884,1884,1880,upheld,District of Columbia Recording Act,,4/29/1878,72,45,Economic,0.0,0.0,0,0,1.0,0.0,0,0,1
Edye v. Robertson,12/8/1884,1884,1880,upheld,Immigration Fund Act,,8/3/1882,28,47,Economic,1.0,1.0,1,0,0.0,0.0,1,0,0
United States v. Great Fall Manufacturing Co.,12/22/1884,1884,1880,struck down as applied,11 Stat. 263,,4/8/1858,320,35,Economic,0.0,0.0,1,0,0.0,0.0,1,0,1
Murphy v. Ramsey,3/23/1885,1885,1880,upheld,Edmunds Act (Polygamy),,3/22/1882,36,47,Equality,1.0,1.0,1,0,1.0,0.0,1,0,0
The Laura,4/13/1885,1885,1880,upheld,16 Stat. 458,,2/28/1871,178,41,Separation of Powers,0.0,0.0,0,0,0.0,0.0,0,0,0
Northern Pacific Railway Company v. Traill County,12/7/1885,1885,1880,upheld,Civil Expenses Appropriation Act,,7/15/1870,184,41,Economic,0.0,0.0,0,0,1.0,0.0,0,0,0
Gibbons v. District of Columbia,1/18/1886,1886,1880,upheld,"District of Columbia, Taxes in the District of Columbia Act, District of Columbia",,3/3/1877,107,44,Federalism,0.0,0.0,0,0,0.0,0.0,1,0,1
United States v. Perkins,1/25/1886,1886,1880,upheld,14 stat. 92,,7/13/1866,258,39,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,0
Boyd v. United States,2/1/1886,1886,1880,struck down as applied,Anti-Moiety Act (Informers),,6/22/1874,139,43,Due Process,0.0,0.0,1,0,1.0,1.0,1,0,0
Turpin v. Burgess,4/5/1886,1886,1880,upheld,Internal Taxes on Distilled Spirits and Tobacco Act,,7/20/1868,212,40,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
