CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
Bank of the United States v. Halstead,023 U.S. 51,3/2/1825,1825,1820,0,0,upheld,Process Act of 1792,1 Stat. 275,2-36,5/8/1792,394,2,6,,0,0,0,0,0,0,1,0,1
American Ins. Co. v. 356 Bales of Cotton,026 U.S. 511,3/15/1828,1828,1820,0,0,upheld,Florida Territory Act,3 Stat. 750,,3/3/1823,60,17,6,,1,0,0,0,0,0,0,0,0
Jackson v. Twentymen,027 U.S. 136,2/6/1829,1829,1820,1,1,struck down as applied,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,473,1,5,6,1,0,0,0,1,0,0,0,1
Foster and Elam v. Neilson,027 U.S. 253,3/9/1829,1829,1820,0,0,upheld,Louisiana Territory Act,2 Stat. 283,8-31,3/26/1804,300,8,4,6,1,0,0,0,0,0,0,0,0
Reynolds v. M'Arthur,027 U.S. 417,2/4/1829,1829,1820,1,1,struck down as applied,Virginia Military Land Warrants Act,3 Stat. 423,,4/11/1818,130,15,4,,0,0,0,0,0,0,0,0,0
Parsons v. Bedford,028 U.S. 433,2/9/1830,1830,1830,1,1,struck down as applied,Louisiana Court Procedure Act,4 Stat. 62,,5/26/1824,69,18,1,,0,0,0,0,1,0,0,1,0
Worcester v. Georgia,031 U.S. 515,3/3/1832,1832,1830,0,0,upheld,Indian Trade Act,2 Stat. 139,7-10,3/30/1802,360,7,5,,0,0,0,0,1,0,0,1,0
United States v. Percheman,032 U.S. 051,2/14/1833,1833,1830,1,1,struck down as applied,Florida Land Titles Law,3 Stat. 709,,5/8/1822,129,17,4,6,0,0,1,0,0,0,1,0,0
Sampeyreac v. United States,032 U.S. 222,3/6/1833,1833,1830,0,0,upheld,Louisiana Public Land Act,4 Stat. 398,,5/5/1830,34,21,6,4,0,0,1,0,0,0,1,0,1
United States v. Phelps,033 U.S. 700,3/19/1834,1834,1830,1,1,struck down as applied,Duties Act of 1799,1 Stat. 627,5-18,3/2/1799,420,5,1,,0,0,1,0,0,0,1,0,1
New Orleans v. United States,035 U.S. 662,2/9/1836,1836,1830,1,1,struck down as applied,Louisiana Statehood Act,2 Stat. 701,,4/8/1812,286,12,5,,1,0,1,0,1,0,1,0,0
United States v. Coombs,037 U.S. 072,1/27/1838,1838,1830,0,0,upheld,Act to Punish Certain Crimes,4 Stat. 115,,3/3/1825,154,18,5,,0,0,1,0,0,0,1,0,1
Garcia v. Lee,037 U.S. 511,3/12/1838,1838,1830,0,0,upheld,Louisiana Territory Act,2 Stat. 283,8-31,3/26/1804,408,8,6,4,1,0,0,0,0,0,0,1,1
United States v. Gratiot,039 U.S. 526,3/9/1840,1840,1840,0,0,upheld,Disposal of Public Land Act,3 Stat. 448,9-36,3/3/1807,396,9,5,,0,0,1,0,0,0,1,0,1
Prigg v. Pennsylvania,041 U.S. 539,3/1/1842,1842,1840,0,0,upheld,Fugitive Slave Act of 1793,1 Stat. 302,2-7,2/12/1793,589,2,5,,1,1,0,0,1,0,0,0,1
Nelson v. Carland,042 U.S. 265,2/7/1843,1843,1840,0,0,upheld,Bankruptcy Act of 1841,5 Stat. 440,,8/19/1841,18,27,4,,1,1,0,0,0,0,0,1,1
Pollard v. Files,43 U.S. 591,3/16/1844,1844,1840,0,0,upheld,Act for Relief of William Pollard's Heirs,6 Stat. 680,,7/2/1836,94,24,4,,0,0,0,0,1,0,0,0,0
Searight v. Stokes,044 U.S. 151,2/4/1845,1845,1840,0,0,upheld,4 Stat. 772,4 Stat. 772,,3/3/1835,119,24,5,,0,0,1,0,0,0,0,2,0
Pollard v. Hagan,044 U.S. 212,2/18/1845,1845,1840,2,1,struck down on face,Act for Relief of William Pollard's Heirs,6 Stat. 680,,7/2/1836,103,24,5,,0,0,0,0,0,0,0,1,0
Cary v. Curtis,044 U.S. 236,1/21/1845,1845,1840,0,0,upheld,Appropriations Act of 1839,5 Stat. 357,,3/3/1839,70,25,5,,0,0,1,0,0,0,1,2,0
Jones v. Van Zandt,046 U.S. 215,3/5/1847,1847,1840,0,0,upheld,Fugitive Slave Act of 1793,1 Stat. 302,2-7,2/12/1793,649,2,5,4,1,1,0,0,0,0,0,0,1
"Waring, et al. v. Clarke",046 U.S. 441,3/2/1847,1847,1840,0,0,upheld,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,690,1,5,1,1,0,0,0,0,0,0,3,1
New Jersey Steam Navigation C. v. Merchants' Bank of Boston,047 U.S. 344,3/7/1848,1848,1840,0,0,upheld,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,702,1,6,5,1,0,0,0,0,0,0,1,1
Sheldon v. Sill,049 U.S. 441,2/21/1850,1850,1850,0,0,upheld,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1793,557,1,6,,1,0,0,0,1,0,0,0,1
Benner v. Porter,050 U.S. 235,4/30/1850,1850,1850,1,1,struck down as applied,Passenger Act,9 Stat. 130,,2/22/1847,38,29,6,5,0,0,0,0,1,0,0,0,0
"Lytle, et al. v. Arkansas, et al.",050 U.S. 314,5/17/1850,1850,1850,1,1,struck down as applied,4 Stat. 531,4 Stat. 531,,6/15/1832,215,22,4,,0,0,0,0,1,0,0,3,0
United States v. Marigold,050 U.S. 560,5/13/1850,1850,1850,0,0,upheld,Act to Punish Certain Crimes,4 Stat. 115,,3/3/1825,302,18,5,,0,0,1,0,0,0,1,0,1
"McNulty v. Batty, et al.",051 U.S. 72,1/7/1851,1851,1850,1,1,struck down as applied,Passenger Act,9 stat. 128,,2/22/1847,47,29,6,,0,0,0,0,0,0,0,0,0
Propeller Genesee Chief v. Fitzhugh,053 U.S. 443,2/20/1852,1852,1850,0,0,upheld,Act Extending Jurisdiction of the District Courts,5 Stat. 726,,2/26/1845,84,28,5,,0,0,0,0,0,0,0,1,0
Veazie v. Moor,055 U.S. 568,3/7/1853,1853,1850,1,1,struck down as applied,Licensing Act,1 Stat. 305,2-8,2/18/1793,721,2,5,,0,0,0,0,0,0,0,0,1
Haydel v. Dufresne,058 U.S. 023,2/8/1855,1855,1850,0,0,upheld,Louisiana Land Claims Act of 1811,2 Stat. 617,,2/15/1811,528,11,6,1,0,0,0,0,1,0,0,0,1
West v. Cochran,058 U.S. 403,2/6/1855,1855,1850,0,0,upheld,Louisiana Land Claims Act of 1807,3 Stat. 440,9-26,3/3/1807,575,9,4,,0,0,1,0,0,0,0,0,1
United States v. Ritchie,058 U.S. 525,3/10/1855,1855,1850,0,0,upheld,California Land Claims Act,9 Stat. 631,,3/3/1851,48,31,4,1,0,0,1,0,0,0,1,0,0
Den ex dem. Murray and Kayser v. Hoboken Land & Improvement Co.,059 U.S. 272,2/19/1856,1856,1850,0,0,upheld,Treasury Department Reorganization Act,3 Stat. 592,,5/15/1820,429,16,1,,0,0,0,0,0,0,0,0,1
Pennsylvania v. Wheeling & Belmont Bridge Co.,059 U.S. 421,4/21/1856,1856,1850,0,0,upheld,Post Office Appropriation of 1852,10 Stat. 110,,8/31/1852,44,32,6,5,0,0,0,0,0,0,0,3,0
Scott v. Sandford,060 U.S. 393,3/5/1857,1857,1850,2,1,struck down on face,Missouri Compromise,3 Stat. 545,,3/6/1820,454,16,5,4,1,1,0,0,0,1,0,2,1
People's Ferry Co. of Boston v. Beers,061 U.S. 393,5/4/1858,1858,1850,1,1,struck down as applied,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,824,1,5,,1,0,0,0,1,0,0,0,1
Dynes v. Hoover,061 U.S. 65,2/1/1858,1858,1850,0,0,upheld,Government of the Navy Act,2 Stat. 45,6-28,4/23/1800,694,6,6,1,0,0,1,0,0,0,1,1,1
Withers v. Buckley,061 U.S. 84,1/11/1858,1858,1850,1,1,struck down as applied,3 Stat. 349,3 Stat. 349,,3/1/1817,490,14,5,,0,0,0,0,0,0,0,0,1
Ableman v. Booth,062 U.S. 506,3/7/1859,1859,1850,0,0,upheld,Fugitive Slave Act of 1850,9 Stat. 462,,9/18/1850,102,31,5,,1,1,1,0,1,0,1,0,0
Kentucky v. Dennison,065 U.S. 66,3/14/1861,1861,1860,1,1,struck down as applied,Fugitive Slave Act of 1793,1 Stat. 302,2-7,2/12/1793,817,2,5,,1,1,0,0,0,0,0,0,1
Freeborn v. Smith,069 U.S. 160,3/10/1865,1865,1860,0,0,upheld,Nevada Courts Act,13 Stat. 440,,2/27/1865,1,38,1,,0,0,0,0,0,0,0,0,0
Gordon v. United States,069 U.S. 561,3/10/1865,1865,1860,2,1,struck down as face,Court of Claims Amendment Act,12 Stat. 765,,3/3/1863,24,37,6,,0,0,0,0,0,1,1,2,0
United States v. Holliday,070 U.S. 407,3/5/1866,1866,1860,0,0,upheld,Indian Trade Amendment Act,12 Stat. 338,,2/13/1862,49,37,5,,0,0,1,0,0,0,1,0,0
Van Allen v. Assessors,070 U.S. 573,3/26/1866,1866,1860,0,0,upheld,National Currency Act of 1864,13 Stat. 99,,6/3/1864,21,38,5,,0,0,0,0,1,0,0,3,0
Ex Parte Garland,071 U.S. 333,1/14/1867,1867,1860,2,1,struck down on face,Attorney Test Oath Act,13 Stat. 424,,1/24/1865,24,38,1,,0,0,1,0,0,1,1,4,0
Moses Taylor,071 U.S. 411,2/4/1867,1867,1860,0,0,upheld,Judiciary Act of 1789,1 Stat. 73,1-20,9/24/1789,917,1,5,6,1,0,0,0,1,0,0,0,1
Hadden v. Collector,072 U.S. 107,2/13/1867,1867,1860,0,0,upheld,Tariff Act of 1862 (Morrill Tariff),12 Stat. 543,,7/14/1862,55,37,5,4,1,0,1,0,0,0,1,0,0
License Tax Cases,072 U.S. 462,1/28/1867,1867,1860,0,0,upheld,Internal Revenue Act of 1864,13 Stat. 223,,6/30/1864,31,38,5,1,1,0,1,0,0,0,1,0,0
Reichart v. Felps,073 U.S. 160,3/16/1868,1868,1860,1,1,struck down on face,Kaskaskia Land Title Revision Act,2 Stat. 677,,2/20/1812,673,12,4,,0,0,0,0,0,1,0,0,0
Mayer v. Cooper,073 U.S. 247,3/16/1868,1868,1860,0,0,upheld,Habeas Corpus Act of 1863,12 Stat. 755,,3/3/1863,60,37,6,5,1,0,0,0,1,0,0,0,0
White's Bank v. Smith,074 U.S. 646,3/29/1868,1868,1860,0,0,upheld,Recording Act,9 Stat. 440,,7/29/1850,212,31,5,,0,0,0,0,1,0,0,0,1
Pacific Insurance Co. v. Soule,074 U.S. 433,2/1/1869,1869,1860,0,0,upheld,Internal Revenue Act of 1864,13 Stat. 223,,6/30/1864,56,38,4,,1,1,1,0,0,0,1,0,0
Ex Parte McCardle,074 U.S. 506,4/12/1869,1869,1860,0,0,upheld,Repeal of the Habeas Corpus Act of 1867,15 Stat. 44,,3/27/1868,13,40,6,,1,1,0,0,0,0,1,0,0
The Alicia,074 U.S. 571,1/25/1869,1869,1860,2,1,struck down on face,Prize Proceedings Act,13 Stat. 806,,6/30/1864,55,38,6,,0,0,1,0,0,1,1,0,0
Veazie Bank v. Fenno,075 U.S. 533,12/13/1869,1869,1860,0,0,upheld,Internal Revenue Act of 1866,14 Stat. 98,,7/13/1866,36,39,4,5,0,0,1,0,0,0,1,2,0
Hepburn v. Griswold,075 U.S. 603,1/24/1870,1870,1870,1,1,struck down as applied,Legal Tender Act,12 Stat. 345,,2/25/1862,95,37,4,,1,1,1,0,0,1,0,3,0
United States v. Dewitt,076 U.S. 041,2/21/1870,1870,1870,1,1,struck down as applied,Internal Revenue Act of 1867,14 Stat. 471,,3/2/1867,35,39,5,,0,0,1,0,0,1,1,0,0
Frisbie v. Whitney,076 U.S. 187,3/21/1870,1870,1870,0,0,upheld,Soscal Ranch Preemption Act,12 Stat. 808,,3/3/1863,84,37,4,,0,0,0,0,1,0,0,0,0
Justices v. Murray,076 U.S. 274,3/14/1870,1870,1870,2,1,struck down on face,Habeas Corpus Act of 1863,12 Stat. 755,,3/3/1863,84,37,1,,1,0,1,0,1,1,1,0,0
Bennett v. Hunter,076 U.S. 326,3/21/1870,1870,1870,1,1,struck down as applied,Tax Collection Act of 1862,12 Stat. 422,,6/7/1862,93,37,4,1,0,0,1,0,0,0,0,0,0
Clinton Bridge,077 U.S. 454,12/19/1870,1870,1870,0,0,upheld,Clinton Bridge Act,14 Stat. 412,,2/27/1867,46,39,6,,0,0,0,0,0,0,0,0,0
Willard v. Presbury,081 U.S. 676,3/7/1870,1870,1870,0,0,upheld,District of Columbia Tax Authority Act,13 Stat. 434,,2/23/1865,61,38,4,,0,0,0,0,1,0,0,0,0
The Daniel Ball,077 U.S. 557,1/23/1871,1871,1870,0,0,upheld,Security on Steam Vessels Act,5 Stat. 304,,7/7/1838,390,25,5,,0,0,1,0,0,0,1,0,1
Collector v. Day,078 U.S. 113,4/3/1871,1871,1870,1,1,struck down as applied,Internal Revenue Act of 1864,13 Stat. 223,,6/30/1864,82,38,5,,1,1,1,0,0,0,1,1,0
Miller v. United States,078 U.S. 268,3/3/1871,1871,1870,0,0,upheld,Confiscation Acts,12 Stat. 319,,8/6/1861,115,37,1,4,1,1,1,0,0,0,1,3,0
Stewart v. Kahn,078 U.S. 493,4/10/1871,1871,1870,0,0,upheld,Statute of Limitations Act,13 Stat. 123,,6/11/1864,82,38,1,,0,0,0,0,1,0,0,0,0
Knox v. Lee,079 U.S. 457,5/1/1871,1871,1870,0,0,upheld,Legal Tender Act,12 Stat. 345,,2/25/1862,111,37,4,,1,1,1,0,0,0,0,4,0
Johnson v. Towsley,080 U.S. 072,12/11/1871,1871,1870,1,1,struck down as applied,Distribution and Pre-emption Act,5 Stat. 453,,9/4/1841,363,27,4,1,1,0,0,0,0,0,0,1,1
United States v. Klein,080 U.S. 128,1/29/1872,1872,1870,2,1,struck down on face,Appropriations Act of 1870,16 Stat. 230,,7/12/1870,18,41,6,,0,0,1,0,0,1,1,2,0
Railway Company v. Whitton's Administrator,080 U.S. 270,2/19/1872,1872,1870,0,0,upheld,Removal Act,14 Stat. 558,,3/2/1867,59,39,6,5,0,0,0,0,0,0,0,0,0
Ex Parte Russell,080 U.S. 664,3/25/1872,1872,1870,0,0,upheld,Court of Claims Amendment Act of 1868,15 Stat. 75,,6/25/1868,45,40,6,,0,0,1,0,0,0,1,2,0
United States v. Singer,082 U.S. 111,12/9/1872,1872,1870,0,0,upheld,Internal Tax on Spirits Act,15 Stat. 125,,7/20/1868,53,40,4,,0,0,1,0,1,0,1,0,0
United States v. Railroad Company,084 U.S. 322,4/7/1873,1873,1870,1,1,struck down as applied,Internal Revenue Act of 1864,13 Stat. 223,,6/30/1864,106,38,5,,1,1,1,0,0,0,1,2,0
Insurance Company v. Dunn,086 U.S. 214,1/26/1874,1874,1870,0,0,upheld,Removal Act,14 Stat. 558,,3/2/1867,82,39,6,,0,0,0,0,1,0,0,0,0
Ex Parte Robinson,086 U.S. 505,5/4/1874,1874,1870,0,0,upheld,Contempt of Court Act,4 Stat. 487,,3/2/1831,518,21,6,1,0,0,0,0,0,0,1,1,1
Stockdale v. Insurance Company,087 U.S. 323,5/4/1874,1874,1870,0,0,upheld,Tariff Act of 1870,16 Stat. 256,,7/14/1870,46,41,6,1,1,0,1,0,1,0,1,3,0
Hamilton v. Dillin,088 U.S. 73,1/11/1875,1875,1870,0,0,upheld,Force Act of 1861,12 Stat. 255,,7/13/1861,162,37,6,5,0,0,1,0,0,0,1,0,0
Scholey v. Rew,090 U.S. 331,1/25/1875,1875,1870,0,0,upheld,Internal Revenue Act of 1864,13 Stat. 223,,6/30/1864,127,38,4,,1,0,1,0,0,0,1,0,0
Kohl v. United States,091 U.S. 367,3/27/1876,1876,1870,0,0,upheld,Act to Purchase a Site,17 Stat. 39,,3/12/1872,48,42,4,,0,0,1,0,0,0,1,1,0
Gaines v. Fuentes,092 U.S. 10,3/20/1876,1876,1870,0,0,upheld,Removal Act,14 Stat. 558,,3/2/1867,108,39,6,,0,0,0,0,1,0,0,3,0
Phillips v. Payne,092 U.S. 130,4/17/1876,1876,1870,0,0,upheld,Alexandria Retrocession Act,9 Stat. 35,,7/9/1846,357,29,4,5,0,0,0,0,0,0,0,0,1
United States v. Reese,092 U.S. 214,3/27/1876,1876,1870,2,1,struck down on face,Enforcement Act of 1870,16 Stat. 140,,5/31/1870,70,41,5,3,1,1,1,0,0,1,1,2,0
Pace v. Burgess,092 U.S. 372,4/17/1876,1876,1870,0,0,upheld,Internal Tax on Spirits Act,15 Stat. 125,,7/20/1868,93,40,4,,0,0,1,0,0,0,1,0,0
United States v. Cruikshank,092 U.S. 542,3/27/1876,1876,1870,1,1,struck down as applied,Enforcement Act of 1870,16 Stat. 140,,5/31/1870,70,41,5,,1,1,1,0,0,0,1,1,0
United States v. Forty-Three Gallons of Whiskey,093 U.S. 188,11/13/1876,1876,1870,0,0,upheld,Indian Trade Act of 1864,13 Stat. 29,,3/15/1864,152,38,5,,0,0,1,0,1,0,1,0,0
South Carolina v. Georgia,093 U.S. 4,10/23/1876,1876,1870,0,0,upheld,Appropriations Act of 1874,18 Stat. 204,,6/23/1874,28,43,5,,0,0,1,0,0,0,0,0,0
Beecher v. Wetherby,095 U.S. 517,11/19/1877,1877,1870,1,1,struck down as applied,Relief of Stockbridge and Munsee Tribes,16 Stat. 404,,2/6/1871,81,41,4,,0,0,0,0,0,0,0,0,0
United States v. Fox,095 U.S. 670,1/7/1878,1878,1870,1,1,struck down as applied,Bankruptcy Act of 1867,14 Stat. 517,,3/2/1867,130,39,1,5,1,0,1,0,0,1,1,0,0
Pensacola Telegraph Company v. Western Union Telegraph Company,096 U.S. 1,3/25/1878,1878,1870,0,0,upheld,Telegraph Construction Act,14 Stat. 221,,7/24/1866,140,39,5,,0,0,0,0,0,0,0,2,0
United States v. Simmons,096 U.S. 360,4/22/1878,1878,1870,1,1,struck down as applied,Internal Tax on Spirits Act,15 Stat. 125,,7/20/1868,117,40,1,,0,0,1,0,0,0,1,0,0
Ex Parte Jackson,096 U.S. 727,5/13/1878,1878,1870,0,0,upheld,19 Stat. 90,19 Stat. 90,,7/12/1876,22,44,2,,0,0,1,0,0,0,1,1,1
Burgess v. Salmon,097 U.S. 381,12/23/1878,1878,1870,1,1,struck down as applied,18 Stat. 339,18 Stat. 339,,3/3/1875,45,43,1,4,0,0,1,0,0,0,1,0,0
Mattingly v. District of Columbia,097 U.S. 687,12/16/1878,1878,1870,0,0,upheld,District of Columbia Assessments,20 Stat. 166,,6/19/1878,6,45,6,4,0,0,0,0,0,0,1,0,1
Reynolds v. United States,098 U.S. 145,1/6/1879,1879,1870,0,0,upheld,Pacific Railroad Act,12 Stat. 501,,7/1/1862,198,37,2,,0,0,1,0,0,0,1,0,0
United States v. Hall,098 U.S. 343,1/27/1879,1879,1870,0,0,upheld,17 Stat. 575,17 Stat. 575,,3/3/1873,70,42,5,,0,0,1,0,0,0,1,0,0
De Treville v. Smalls,098 U.S. 517,1/20/1879,1879,1870,0,0,upheld,12 Stat. 422,12 Stat. 422,,6/7/1862,199,37,4,1,0,0,0,0,0,0,0,2,0
United States v. Union Pacific Railroad Company,098 U.S. 569,1/6/1879,1879,1870,0,0,upheld,Appropriations Act of 1873,17 Stat. 485,,3/3/1873,70,42,1,,0,0,1,0,0,0,1,0,0
Sinking-Fund Cases,099 U.S. 700,5/5/1879,1879,1870,0,0,upheld,Thurman Act (Pacific Railroads),20 Stat. 56,,5/7/1878,12,45,4,,0,0,1,0,0,0,1,3,1
Trade-Mark Cases,100 U.S. 082,11/17/1879,1879,1870,2,1,struck down on face,Copyright Act,16 Stat. 198,,7/8/1870,112,41,5,,1,0,1,0,0,1,1,0,0
Tennessee v. Davis,100 U.S. 257,3/1/1880,1880,1880,0,0,upheld,Judiciary Act of 1875,18 Stat. 470,,3/3/1875,60,43,5,1,0,0,1,0,0,0,1,2,0
Virginia v. Rives,100 U.S. 313,3/1/1880,1880,1880,0,0,upheld,Enforcement Act of 1870,16 Stat. 140,,5/31/1870,118,41,3,,1,1,1,0,0,0,0,0,0
Ex parte Virginia,100 U.S. 339,3/1/1880,1880,1880,0,0,upheld,Civil Rights Act of 1875,18 Stat. 335,,3/1/1875,60,43,3,,1,1,1,0,0,0,1,2,0
Ex parte Siebold,100 U.S. 371,3/8/1880,1880,1880,0,0,upheld,Enforcement Act of 1870,16 Stat. 140,,5/31/1870,117,41,5,6,1,1,1,0,0,0,1,2,0
Ex parte Clarke,100 U.S. 399,3/8/1880,1880,1880,0,0,upheld,Enforcement Act of 1871,16 Stat. 433,,2/18/1871,109,43,1,,0,0,1,0,0,0,1,2,0
National Bank v. United States,101 U.S. 1,4/5/1880,1880,1880,0,0,upheld,15 Stat. 6,15 Stat. 6,,3/26/1867,157,40,5,,0,0,1,0,0,0,1,0,0
McElrath v. United States,102 U.S. 426,12/30/1880,1880,1880,0,0,upheld,Court of Claims Amendment Act,12 Stat. 765,,3/3/1863,214,37,1,,0,0,1,0,0,0,1,0,0
Lord v. Steamship Co.,102 U.S. 541,1/10/1881,1881,1880,0,0,upheld,Tariff Act of 1851,9 Stat. 635,,3/3/1851,358,31,5,,0,0,0,0,0,0,0,0,1
Springer v. United States,102 U.S. 586,1/24/1881,1881,1880,0,0,upheld,"Ways and Means - Bonds, Treasury Notes; Direct Taxes in Insurrectionary Districts, Conveyances, etc",13 Stat. 468,,3/3/1865,191,38,1,4,0,0,1,0,0,0,1,0,0
"The ""Francis Wright""",105 U.S. 381,4/17/1882,1882,1880,0,0,upheld,Supreme Court and Circuit Courts,18 Stat. 315,,2/16/1875,86,43,1,,0,0,0,0,0,0,0,0,0
Bridge Co. v. United States,105 U.S. 470,5/8/1882,1882,1880,0,0,upheld,Post-Office Appropriation Act,16 Stat. 571,,3/3/1871,134,41,4,1,0,0,1,0,0,0,1,3,0
Ex parte Boyd,105 U.S. 647,5/8/1882,1882,1880,0,0,upheld,17 Stat. 196,17 Stat. 196,,6/1/1872,119,42,1,,0,0,1,0,0,0,1,0,0
Kirk v. Lynd,106 U.S. 315,12/4/1882,1882,1880,0,0,upheld,Confiscation (of Property) Acts (Civil War),12 Stat. 319,,8/6/1861,256,37,1,,1,0,0,0,0,0,0,0,0
Ex parte Curtis,106 U.S. 371,12/18/1882,1882,1880,0,0,upheld,"Legislative, Executive, and Judicial Appropriations Act of 1876",19 Stat. 143,,8/15/1876,77,44,1,,0,0,1,0,0,0,1,1,1
United States v. Harris,106 U.S. 629,1/22/1883,1883,1880,2,1,struck down on face,Civil Rights Act of 1871,17 Stat. 13,,4/20/1871,141,42,1,5,1,1,1,0,0,1,1,0,0
Wood v. United States,107 U.S. 414,4/16/1883,1883,1880,0,0,upheld,General Samuel W. Crawford and Retired Officers,18 Stat. 512,,3/3/1875,98,43,1,,0,0,1,0,0,0,1,0,0
Close v. Glenwood Cemetery,107 U.S. 466,3/5/1883,1883,1880,0,0,upheld,Glenwood Cemetary Act,19 Stat. 266,,2/28/1875,96,44,4,,0,0,0,0,0,0,0,0,1
In re Devoe Manufacturing Co.,108 U.S. 401,5/7/1883,1883,1880,0,0,upheld,Consent of Congress to a Compact of Boundary between New York and New Jersey,4 Stat. 708,,6/28/1834,586,23,5,,0,0,0,0,0,0,1,0,1
